Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,4,Devon and Cornwall,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,4,Devon and Cornwall,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26,-00 
2017/18,4,Devon and Cornwall,Blackmail,Theft offences,Other theft offences,35, 76 
2017/18,4,Devon and Cornwall,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 675 
2017/18,4,Devon and Cornwall,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,4,Devon and Cornwall,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,4,Devon and Cornwall,Burglary Residential,Theft offences,Domestic burglary,28E, 467 
2017/18,4,Devon and Cornwall,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,4,Devon and Cornwall,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,4,Devon and Cornwall,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8, 3 
2017/18,4,Devon and Cornwall,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9, 1 
2017/18,4,Devon and Cornwall,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4, 10 
2017/18,4,Devon and Cornwall,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,4,Devon and Cornwall,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 7 
2017/18,4,Devon and Cornwall,Child abduction,Violence against the person,Violence without injury,13, 2 
2017/18,4,Devon and Cornwall,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,4,Devon and Cornwall,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,4,Devon and Cornwall,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 271 
2017/18,4,Devon and Cornwall,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 505 
2017/18,4,Devon and Cornwall,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 1361 
2017/18,4,Devon and Cornwall,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 122 
2017/18,4,Devon and Cornwall,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 20 
2017/18,4,Devon and Cornwall,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95, 1 
2017/18,4,Devon and Cornwall,Dishonest use of electricity,Theft offences,Other theft offences,43, 4 
2017/18,4,Devon and Cornwall,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,4,Devon and Cornwall,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 1 
2017/18,4,Devon and Cornwall,Endangering life,Violence against the person,Violence with injury,5E, 14 
2017/18,4,Devon and Cornwall,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24,-00 
2017/18,4,Devon and Cornwall,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 43 
2017/18,4,Devon and Cornwall,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60, 2 
2017/18,4,Devon and Cornwall,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814, 2 
2017/18,4,Devon and Cornwall,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 12 
2017/18,4,Devon and Cornwall,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 16 
2017/18,4,Devon and Cornwall,Harassment,Violence against the person,Stalking and harassment,8L, 811 
2017/18,4,Devon and Cornwall,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,4,Devon and Cornwall,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,4,Devon and Cornwall,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,4,Devon and Cornwall,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 2 
2017/18,4,Devon and Cornwall,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 13 
2017/18,4,Devon and Cornwall,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,4,Devon and Cornwall,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 190 
2017/18,4,Devon and Cornwall,Kidnapping,Violence against the person,Violence without injury,36, 23 
2017/18,4,Devon and Cornwall,Making off without payment,Theft offences,Other theft offences,49A, 264 
2017/18,4,Devon and Cornwall,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 4 
2017/18,4,Devon and Cornwall,Malicious Communications,Violence against the person,Stalking and harassment,8R, 1386 
2017/18,4,Devon and Cornwall,Modern slavery,Violence against the person,Violence without injury,106, 13 
2017/18,4,Devon and Cornwall,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 200 
2017/18,4,Devon and Cornwall,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 28 
2017/18,4,Devon and Cornwall,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 1165 
2017/18,4,Devon and Cornwall,Other drug offences,Drug offences,Possession of drugs,92C, 1 
2017/18,4,Devon and Cornwall,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81, 1 
2017/18,4,Devon and Cornwall,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 47 
2017/18,4,Devon and Cornwall,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,4,Devon and Cornwall,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C, 3 
2017/18,4,Devon and Cornwall,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 26 
2017/18,4,Devon and Cornwall,Other offences against the State or public order,Public order offences,Public order offences,66, 299 
2017/18,4,Devon and Cornwall,Other theft,Theft offences,Other theft offences,49, 1595 
2017/18,4,Devon and Cornwall,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,4,Devon and Cornwall,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 41 
2017/18,4,Devon and Cornwall,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 99 
2017/18,4,Devon and Cornwall,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 451 
2017/18,4,Devon and Cornwall,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 195 
2017/18,4,Devon and Cornwall,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A, 1 
2017/18,4,Devon and Cornwall,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 20 
2017/18,4,Devon and Cornwall,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 10 
2017/18,4,Devon and Cornwall,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 68 
2017/18,4,Devon and Cornwall,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,4,Devon and Cornwall,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 24 
2017/18,4,Devon and Cornwall,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 1239 
2017/18,4,Devon and Cornwall,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 12 
2017/18,4,Devon and Cornwall,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 23 
2017/18,4,Devon and Cornwall,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 4 
2017/18,4,Devon and Cornwall,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 9 
2017/18,4,Devon and Cornwall,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 112 
